City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,masterton,-40.9597,175.6575,22.71,55,83,1.59,NZ,2024-01-30 23:56:20-05:00
1,port-aux-francais,-49.35,70.2167,4.07,73,88,12.95,TF,2024-01-30 23:56:20-05:00
2,jackson,42.4165,-122.8345,17.93,34,0,9.26,US,2024-01-30 23:56:21-05:00
3,filingue,14.3521,3.3168,18.63,21,8,4.95,NE,2024-01-30 23:56:21-05:00
4,mersa matruh,31.3525,27.2453,8.11,81,40,4.12,EG,2024-01-30 23:56:22-05:00
5,iqaluit,63.7506,-68.5145,-25.73,62,40,8.23,CA,2024-01-30 23:56:22-05:00
6,nago,26.5881,127.9761,26.47,68,70,4.61,JP,2024-01-30 23:56:23-05:00
7,caleta de carquin,-11.0925,-77.6267,23.82,82,100,3.65,PE,2024-01-30 23:56:23-05:00
8,olonkinbyen,70.9221,-8.7187,-3.92,73,100,7.04,SJ,2024-01-30 23:56:24-05:00
9,san antonio de pale,-1.4014,5.6325,27.99,76,99,2.6,GQ,2024-01-30 23:56:25-05:00
10,sinabang,2.4803,96.3801,30.04,66,82,1.68,ID,2024-01-30 23:56:25-05:00
11,greytown,-29.0642,30.5928,18.03,85,58,0.6,ZA,2024-01-30 23:56:25-05:00
12,kingston,17.997,-76.7936,24.53,82,20,1.03,JM,2024-01-30 23:50:13-05:00
13,labytnangi,66.6572,66.4183,-16.14,97,100,1.92,RU,2024-01-30 23:56:27-05:00
14,papatowai,-46.5619,169.4708,17.59,50,81,2.52,NZ,2024-01-30 23:56:27-05:00
15,bilibino,68.0546,166.4372,-33.05,99,100,0.52,RU,2024-01-30 23:56:27-05:00
16,weno,7.4515,151.8468,29.97,70,100,5.66,FM,2024-01-30 23:56:28-05:00
17,dudinka,69.4058,86.1778,-17.99,84,97,9.39,RU,2024-01-30 23:56:29-05:00
18,wailua homesteads,22.0669,-159.378,24.24,80,75,3.09,US,2024-01-30 23:56:29-05:00
19,bethel,41.3712,-73.414,1.2,79,100,3.6,US,2024-01-30 23:56:30-05:00
20,blackmans bay,-43.0167,147.3167,20.41,56,87,0.45,AU,2024-01-30 23:56:30-05:00
21,ribeira grande,38.5167,-28.7,13.21,88,26,2.68,PT,2024-01-30 23:56:31-05:00
22,hithadhoo,-0.6,73.0833,27.61,74,36,2.49,MV,2024-01-30 23:56:31-05:00
23,tiksi,71.6872,128.8694,-26.55,97,64,1.83,RU,2024-01-30 23:56:32-05:00
24,adamstown,-25.066,-130.1015,25.29,78,100,12.27,PN,2024-01-30 23:56:32-05:00
25,lorengau,-2.0226,147.2712,29.15,75,100,4.98,PG,2024-01-30 23:56:33-05:00
26,tchintabaraden,15.8969,5.7985,16.18,30,20,5.85,NE,2024-01-30 23:56:34-05:00
27,tazovsky,67.4667,78.7,-22.39,94,64,5.74,RU,2024-01-30 23:56:34-05:00
28,mcdonough,40.4667,-90.6668,3.0,84,100,2.57,US,2024-01-30 23:56:35-05:00
29,znamenskoye,57.1281,73.8282,-15.62,96,96,2.85,RU,2024-01-30 23:56:35-05:00
30,pemangkat,1.1667,108.9667,28.43,78,91,3.29,ID,2024-01-30 23:56:36-05:00
31,hadibu,12.65,54.0333,25.06,71,95,2.22,YE,2024-01-30 23:56:36-05:00
32,waitangi,-43.9535,-176.5597,18.23,98,100,2.24,NZ,2024-01-30 23:56:37-05:00
33,erenhot,43.6475,111.9767,-17.85,79,6,2.03,CN,2024-01-30 23:56:37-05:00
34,egilsstadir,65.2653,-14.3948,-3.05,74,0,0.51,IS,2024-01-30 23:56:38-05:00
35,treinta y tres,-33.2333,-54.3833,16.3,90,0,2.96,UY,2024-01-30 23:56:39-05:00
36,port mathurin,-19.6833,63.4167,27.68,81,100,8.2,MU,2024-01-30 23:56:39-05:00
37,samus',56.7475,84.6992,-18.33,93,99,1.84,RU,2024-01-30 23:56:40-05:00
38,hermanus,-34.4187,19.2345,21.0,74,100,1.33,ZA,2024-01-30 23:56:40-05:00
39,albany,42.6001,-73.9662,-0.46,84,100,2.02,US,2024-01-30 23:56:41-05:00
40,puerto natales,-51.7236,-72.4875,8.74,85,64,1.43,CL,2024-01-30 23:56:41-05:00
41,johnstown,40.3267,-78.922,3.03,92,100,3.09,US,2024-01-30 23:56:42-05:00
42,ulundi,-28.3352,31.4162,20.79,89,40,0.15,ZA,2024-01-30 23:56:42-05:00
43,glace bay,46.1969,-59.957,-5.12,76,40,4.12,CA,2024-01-30 23:56:43-05:00
44,taiyuan,37.8694,112.5603,2.92,44,89,7.0,CN,2024-01-30 23:56:43-05:00
45,leh,34.1667,77.5833,-4.43,60,99,3.09,IN,2024-01-30 23:56:44-05:00
46,avarua,-21.2078,-159.775,29.03,65,98,1.54,CK,2024-01-30 23:56:44-05:00
47,mejit,10.2753,170.8646,26.31,83,100,9.11,MH,2024-01-30 23:56:45-05:00
48,namibe,-15.1961,12.1522,24.07,82,14,1.92,AO,2024-01-30 23:56:45-05:00
49,saipan,15.1355,145.701,28.39,57,40,8.75,MP,2024-01-30 23:56:46-05:00
50,west island,-12.1568,96.8225,29.99,66,75,2.57,CC,2024-01-30 23:56:46-05:00
51,acaponeta,22.4964,-105.3594,20.44,75,99,1.85,MX,2024-01-30 23:56:47-05:00
52,grytviken,-54.2811,-36.5092,2.81,76,20,4.95,GS,2024-01-30 23:56:47-05:00
53,mili,6.0815,171.735,25.69,92,100,7.79,MH,2024-01-30 23:56:48-05:00
54,enewetak,11.3474,162.3373,26.62,70,70,8.94,MH,2024-01-30 23:56:48-05:00
55,nantucket,41.2835,-70.0995,-0.94,69,100,3.6,US,2024-01-30 23:56:49-05:00
56,karpinsk,59.7654,60.0085,-6.51,87,90,2.9,RU,2024-01-30 23:56:49-05:00
57,zhanaozen,43.3,52.8,-1.51,79,68,5.55,KZ,2024-01-30 23:56:50-05:00
58,kingscliff,-28.2667,153.5667,29.87,58,40,9.26,AU,2024-01-30 23:56:50-05:00
59,touros,-5.1989,-35.4608,27.02,72,48,4.28,BR,2024-01-30 23:52:47-05:00
60,duyun,26.2667,107.5167,13.72,94,100,3.32,CN,2024-01-30 23:56:51-05:00
61,duba,27.3513,35.6901,14.83,50,1,2.75,SA,2024-01-30 23:56:51-05:00
62,longyearbyen,78.2186,15.6401,-6.09,68,75,6.17,SJ,2024-01-30 23:56:52-05:00
63,college,64.8569,-147.8028,-31.03,73,75,0.0,US,2024-01-30 23:56:52-05:00
64,ubatuba,-23.4339,-45.0711,24.38,74,89,1.71,BR,2024-01-30 23:52:14-05:00
65,nar'yan-mar,67.6713,53.087,-6.05,92,83,4.92,RU,2024-01-30 23:56:53-05:00
66,edinburgh of the seven seas,-37.0676,-12.3116,13.87,58,89,1.27,SH,2024-01-30 23:56:54-05:00
67,al ghayzah,16.2079,52.176,25.19,71,97,3.42,YE,2024-01-30 23:56:54-05:00
68,machico,32.7,-16.7667,18.35,78,40,1.54,PT,2024-01-30 23:56:55-05:00
69,carnarvon,-24.8667,113.6333,36.48,38,0,4.44,AU,2024-01-30 23:56:55-05:00
70,urumqi,43.801,87.6005,-14.47,72,97,2.0,CN,2024-01-30 23:56:56-05:00
71,stanley,54.868,-1.6985,5.16,78,0,4.63,GB,2024-01-30 23:56:56-05:00
72,flying fish cove,-10.4217,105.6791,28.82,83,100,3.09,CX,2024-01-30 23:56:56-05:00
73,altay,47.8667,88.1167,-9.35,72,97,0.49,CN,2024-01-30 23:56:57-05:00
74,parauna,-16.9478,-50.4486,21.13,74,92,1.54,BR,2024-01-30 23:56:57-05:00
75,udachny,66.4167,112.4,-23.64,76,90,1.39,RU,2024-01-30 23:56:58-05:00
76,callao,-12.0667,-77.15,25.95,73,75,3.6,PE,2024-01-30 23:56:58-05:00
77,port augusta,-32.5,137.7667,27.88,28,0,9.75,AU,2024-01-30 23:56:59-05:00
78,happy valley-goose bay,53.3168,-60.3315,-12.83,47,20,6.17,CA,2024-01-30 23:57:00-05:00
79,ancud,-41.8697,-73.8203,13.94,95,100,1.92,CL,2024-01-30 23:57:00-05:00
80,st. john's,47.5649,-52.7093,-4.62,84,100,7.2,CA,2024-01-30 23:57:01-05:00
81,maloye ganyushkino,46.6,49.2667,-2.67,94,100,4.54,KZ,2024-01-30 23:57:01-05:00
